DefaultName,SpecTypeNIR,SpTNIR_indx,mag_upp,mag_low,Teff (K),Teff_unc (K),SexagesimalRA,SexagesimalDec,RA (deg),RA_unc (mas),Dec (deg),Dec_unc (mas),Epoch,Parallax (mas),Parallax_unc (mas),PMRA (mas/yr),PMRA_unc (mas/yr),PMDec (mas/yr),PMDec_unc (mas/yr),PlxPMRef,RUWE,#CompsInThisSystem,2MASS,WISE,Gaia,SpTNIR_ref,JMKO (mag),JMKOerr (mag),J2MASS (mag),J2MASSerr (mag),H (mag),Herr (mag),K (mag),Kerr (mag),Ks (mag),Kserr (mag),JHK_ref,2MASS_contam?,W1 (mag),W1err (mag),W2 (mag),W2err (mag),W3 (mag),W3err (mag),W4 (mag),W4err (mag),WISEphot_ref,WISE_contam?,GeneralNotes
WISE J210200.15-442919.5,T9,69.0,14.6,14.1,560,88,21 02 00.17,-44 29 21.5,315.5006876,,-44.4892833,,2015.4,92.9,1.9,41.6,1.9,-354.5,2.7,Tinney2014,,1,,WISEA J210200.14-442919.9,,Kirkpatrick2012,18.3,0.04,,,18.58,0.07,,,18.59,0.24,V-k-V,,16.703,0.039,14.16,0.016,12.056,,8.937,,CCAA,,
WISE J000517.48+373720.5,T9,69.0,14.1,0.0,555,88,00 05 18.01,+37 37 18.9,1.324667,2.0,37.621951,2.0,2015.56,126.9,2.1,997.3,1.0,-271.6,1.0,Kirkpatrick2021a,,1,,WISE J000517.48+373720.5,,Mace2013a,18.33,0.12,,,,,,,,,-----,,16.88,0.119,13.267,0.031,11.99,0.235,9.23,,WWWW,,
WISEPA J213456.73-713743.6,T9 pec,69.0,14.1,0.0,481,88,21 34 58.45,-71 37 45.6,323.7425500,,-71.6293047,,2015.4,109.7,3.7,1363.2,6.2,-223.2,4.9,Tinney2014,,1,,WISEA J213456.79-713744.7,,Kirkpatrick2011,19.81,0.1,,,19.7,0.12,,,,,M-M--,,17.58,0.089,13.955,0.013,12.389,0.396,,,CCA-,,
WISEPA J174124.26+255319.5,T9,69.0,14.1,0.0,570,88,17 41 24.06,+25 53 12.1,265.3505,,25.8875,,2013.37,214.3,2.8,-505.3,1.1,-1472.6,1.3,Kirkpatrick2019,,1,2MASS J17412462+2553343,WISEA J174124.22+255319.2,,Kirkpatrick2011,16.11,0.01,16.48,0.02,16.63,0.03,17.02,0.2,16.89,0.2,UKkDp,,15.407,0.019,12.378,0.007,10.698,0.084,8.37,,CCAA,,
WISEA J125721.01+715349.3,Y1,71.0,100.0,15.9,367,79,12 57 20.15,+71 53 49.2,194.333106,41.0,71.896932,36.3,2016.33,60.2,,-928.1,14.4,85.7,12.5,Kirkpatrick2021a,,1,,WISEA J125721.01+715349.3,,,19.02,,,,,,,,,,A----,,18.706,0.15,16.074,0.046,12.815,,9.464,,CCAA,,Expected parallax is 60.2 mas (Kirkpatrick2021a) and estimated spectral type is >=Y1 (Meisner2020b).
CWISEP J094005.50+523359.2,Y1,71.0,100.0,15.9,367,79,09 40 05.46,+52 33 58.7,145.022593,102.4,52.566241,84.8,2016.89,66.4,12.2,-342.0,40.4,-352.6,32.5,Kirkpatrick2021a,,1,,CWISEP J094005.50+523359.2,,,21.26,,,,,,,,,,a----,,19.845,,15.913,0.051,,,,,CC--,,Estimated spectral type is >=Y1 (Meisner2020a).
CWISEP J223022.60+254907.5,Y1,71.0,100.0,15.9,367,79,22 30 22.51,+25 49 07.3,337.593652,106.1,25.818347,56.5,2017.0,71.3,16.0,-570.3,42.0,-464.4,22.5,Kirkpatrick2021a,,1,,CWISEP J223022.60+254907.5,,,21.16,,,,,,,,,,a----,,18.672,0.217,16.227,0.075,,,,,CC--,,Estimated spectral type >=Y1 (Meisner2020a).
CWISEP J023842.60-133210.7,Y1,71.0,100.0,15.9,367,79,02 38 42.59,-13 32 11.1,39.677455,168.2,-13.536971,140.2,2016.73,85.8,21.4,-62.0,58.2,-768.5,44.6,Kirkpatrick2021a,,1,,CWISEP J023842.60-133210.7,,,21.46,,,,,,,,18.32,,a---a,,19.653,,16.324,0.083,,,,,CC--,,Spectral type estimate >=Y1 (Meisner2020a).
WISEU J050305.68-564834.0,Y1,71.0,100.0,15.9,367,79,05 03 06.28,-56 48 31.8,75.776553,25.5,-56.808684,27.5,2016.89,98.3,3.9,759.2,9.3,288.2,10.1,Kirkpatrick2021a,,1,,WISEU J050305.68-564834.0,,,20.57,0.29,,,,,,,,,V----,,19.823,,15.985,0.038,,,,,CC--,,Spectral type estimate is >=Y1 (Meisner2020b).
CWISEP J235644.78-481456.3,Y0.5,70.5,100.0,15.9,412,79,23 56 44.87,-48 14 56.7,359.18727,52.8,-48.249206,57.3,2016.41,57.6,,886.4,16.8,-35.0,18.5,Kirkpatrick2021a,,1,,CWISEP J235644.78-481456.3,,,21.77,0.28,,,19.14,,,,18.3,,a-a-a,,18.843,0.214,16.066,0.057,,,,,CC--,yes,Expected parallax is 57.6 mas (Kirkpatrick2021a) and estimated spectral type is Y0.5 (Meisner2020a).
